ID,Year_Birth,Education,Marital_Status,Income,Kidhome,Teenhome,Dt_Customer,Recency,Complain,Z_CostContact,Z_Revenue
5524,1957,Graduation,Single,58138.0,0,0,04-09-2012,58,0,3,11
2174,1954,Graduation,Single,46344.0,1,1,08-03-2014,38,0,3,11
4141,1965,Graduation,Together,71613.0,0,0,21-08-2013,26,0,3,11
6182,1984,Graduation,Together,26646.0,1,0,10-02-2014,26,0,3,11
5324,1981,PhD,Married,58293.0,1,0,19-01-2014,94,0,3,11
7446,1967,Master,Together,62513.0,0,1,09-09-2013,16,0,3,11
965,1971,Graduation,Divorced,55635.0,0,1,13-11-2012,34,0,3,11
6177,1985,PhD,Married,33454.0,1,0,08-05-2013,32,0,3,11
4855,1974,PhD,Together,30351.0,1,0,06-06-2013,19,0,3,11
5899,1950,PhD,Together,5648.0,1,1,13-03-2014,68,0,3,11
1994,1983,Graduation,Married,,1,0,15-11-2013,11,0,3,11
387,1976,Basic,Married,7500.0,0,0,13-11-2012,59,0,3,11
2125,1959,Graduation,Divorced,63033.0,0,0,15-11-2013,82,0,3,11
8180,1952,Master,Divorced,59354.0,1,1,15-11-2013,53,0,3,11
2569,1987,Graduation,Married,17323.0,0,0,10-10-2012,38,0,3,11
2114,1946,PhD,Single,82800.0,0,0,24-11-2012,23,0,3,11
9736,1980,Graduation,Married,41850.0,1,1,24-12-2012,51,0,3,11
4939,1946,Graduation,Together,37760.0,0,0,31-08-2012,20,0,3,11
6565,1949,Master,Married,76995.0,0,1,28-03-2013,91,0,3,11
2278,1985,2n Cycle,Single,33812.0,1,0,03-11-2012,86,0,3,11
9360,1982,Graduation,Married,37040.0,0,0,08-08-2012,41,0,3,11
5376,1979,Graduation,Married,2447.0,1,0,06-01-2013,42,0,3,11
1993,1949,PhD,Married,58607.0,0,1,23-12-2012,63,0,3,11
4047,1954,PhD,Married,65324.0,0,1,11-01-2014,0,0,3,11
1409,1951,Graduation,Together,40689.0,0,1,18-03-2013,69,0,3,11
7892,1969,Graduation,Single,18589.0,0,0,02-01-2013,89,0,3,11
2404,1976,Graduation,Married,53359.0,1,1,27-05-2013,4,0,3,11
5255,1986,Graduation,Single,,1,0,20-02-2013,19,0,3,11
9422,1989,Graduation,Married,38360.0,1,0,31-05-2013,26,0,3,11
1966,1965,PhD,Married,84618.0,0,0,22-11-2013,96,0,3,11
6864,1989,Master,Divorced,10979.0,0,0,22-05-2014,34,0,3,11
3033,1963,Master,Together,38620.0,0,0,11-05-2013,56,0,3,11
5710,1970,Graduation,Together,40548.0,0,1,10-10-2012,31,0,3,11
7373,1952,PhD,Divorced,46610.0,0,2,29-10-2012,8,0,3,11
8755,1946,Master,Married,68657.0,0,0,20-02-2013,4,0,3,11
10738,1951,Master,Single,49389.0,1,1,29-08-2013,55,0,3,11
4339,1970,PhD,Married,67353.0,0,1,31-12-2013,37,0,3,11
10755,1976,2n Cycle,Married,23718.0,1,0,02-09-2013,76,0,3,11
8595,1973,Graduation,Widow,42429.0,0,1,11-02-2014,99,0,3,11
2968,1943,PhD,Divorced,48948.0,0,0,01-02-2013,53,0,3,11
8601,1980,Graduation,Married,80011.0,0,1,29-04-2013,3,0,3,11
503,1985,Master,Married,20559.0,1,0,12-03-2013,88,0,3,11
8430,1957,Graduation,Together,21994.0,0,1,24-12-2012,4,0,3,11
7281,1959,PhD,Single,,0,0,05-11-2013,80,0,3,11
2139,1975,Master,Married,7500.0,1,0,02-10-2013,19,0,3,11
1371,1976,Graduation,Single,79941.0,0,0,28-06-2014,72,0,3,11
9909,1996,2n Cycle,Married,7500.0,0,0,09-11-2012,24,0,3,11
7286,1968,Graduation,Together,41728.0,1,0,24-05-2013,92,0,3,11
7244,1951,Graduation,Single,,2,1,01-01-2014,96,0,3,11
6566,1954,PhD,Married,72550.0,1,1,08-11-2012,39,0,3,11
8614,1957,Graduation,Widow,65486.0,0,1,12-05-2014,29,0,3,11
4114,1964,Master,Married,79143.0,0,0,11-08-2012,2,0,3,11
1331,1977,Graduation,Single,35790.0,1,0,02-01-2013,54,0,3,11
2225,1977,Graduation,Divorced,82582.0,0,0,07-06-2014,54,0,3,11
9381,1978,Graduation,Married,66373.0,1,1,12-06-2013,57,0,3,11
6260,1955,Master,Together,82384.0,0,0,19-11-2012,55,0,3,11
10383,1966,Graduation,Divorced,70287.0,0,0,02-04-2013,30,0,3,11
7437,1988,Graduation,Single,27938.0,1,0,28-04-2014,31,0,3,11
8557,1982,Graduation,Single,,1,0,17-06-2013,57,0,3,11
8375,1968,PhD,Married,55954.0,0,1,03-03-2014,63,0,3,11
6853,1982,Master,Single,75777.0,0,0,04-07-2013,12,0,3,11
3076,1975,Graduation,Together,66653.0,1,1,07-09-2012,18,0,3,11
1012,1952,Graduation,Single,61823.0,0,1,18-02-2013,26,0,3,11
6518,1951,PhD,Widow,67680.0,0,1,11-06-2013,8,0,3,11
4137,1948,Graduation,Together,70666.0,0,0,06-12-2013,29,0,3,11
8082,1971,Graduation,Married,25721.0,1,0,21-05-2013,75,0,3,11
1386,1967,Graduation,Together,32474.0,1,1,11-05-2014,0,0,3,11
9369,1979,2n Cycle,Single,88194.0,0,1,19-03-2014,19,0,3,11
4477,1958,Graduation,Together,69096.0,0,1,27-09-2013,4,0,3,11
1357,1970,Graduation,Together,74854.0,1,2,08-04-2013,90,0,3,11
1402,1954,Master,Married,66991.0,0,0,11-09-2012,1,0,3,11
10629,1973,2n Cycle,Married,,1,0,14-09-2012,25,0,3,11
6312,1959,Graduation,Married,65031.0,0,1,17-03-2013,29,0,3,11
8132,1975,PhD,Married,60631.0,1,1,05-04-2013,88,0,3,11
1050,1952,Graduation,Married,28332.0,0,0,30-04-2014,58,0,3,11
5846,1977,Graduation,Divorced,40246.0,1,0,19-12-2012,68,0,3,11
1859,1972,Master,Married,75251.0,0,0,27-08-2012,34,0,3,11
7503,1976,Graduation,Single,75825.0,0,0,12-10-2012,40,0,3,11
10401,1976,2n Cycle,Together,26326.0,0,0,04-09-2013,12,1,3,11
1618,1965,Graduation,Together,56046.0,0,0,02-01-2013,9,0,3,11
3332,1985,Graduation,Single,29760.0,1,0,29-08-2012,87,0,3,11
2261,1969,Graduation,Married,26304.0,1,0,23-06-2013,5,0,3,11
5346,1973,2n Cycle,Married,23559.0,1,0,03-07-2013,87,0,3,11
4119,1963,Master,Together,38620.0,0,0,11-05-2013,56,0,3,11
535,1987,Graduation,Divorced,81361.0,0,0,25-02-2014,18,0,3,11
5268,1960,Graduation,Married,29440.0,1,1,11-08-2013,95,0,3,11
273,1970,Master,Married,36138.0,1,1,16-07-2013,48,0,3,11
4452,1957,Graduation,Single,50388.0,0,1,28-05-2014,3,0,3,11
8504,1973,Graduation,Married,79593.0,0,0,12-05-2014,70,0,3,11
771,1967,Graduation,Together,54178.0,0,1,21-01-2014,79,0,3,11
8996,1957,PhD,Married,,2,1,19-11-2012,4,0,3,11
9235,1957,Graduation,Single,,1,1,27-05-2014,45,0,3,11
5798,1973,Master,Together,,0,0,23-11-2013,87,0,3,11
11178,1972,Master,Single,42394.0,1,0,23-03-2014,69,0,3,11
2230,1970,PhD,Married,23626.0,1,0,24-05-2014,84,0,3,11
7516,1983,Graduation,Married,30096.0,1,0,22-05-2014,30,0,3,11
7247,1960,Graduation,Widow,47916.0,0,1,22-11-2012,72,0,3,11
11100,1972,Graduation,Divorced,51813.0,1,1,11-04-2013,37,0,3,11
4646,1951,2n Cycle,Married,78497.0,0,0,01-12-2013,44,0,3,11
3037,1983,PhD,Married,50150.0,0,0,20-06-2013,32,0,3,11
1473,1960,2n Cycle,Single,47823.0,0,1,23-07-2013,0,0,3,11
1016,1959,PhD,Single,34554.0,0,1,30-03-2014,43,0,3,11
4518,1979,Graduation,Together,85693.0,0,1,20-04-2013,59,0,3,11
9370,1945,PhD,Married,65846.0,0,0,17-05-2013,68,0,3,11
8908,1959,Graduation,Married,87195.0,0,0,08-05-2014,35,0,3,11
8373,1979,Basic,Together,24594.0,1,0,10-12-2013,94,0,3,11
7533,1964,Graduation,Married,49096.0,1,1,24-09-2013,15,0,3,11
2683,1969,Graduation,Married,52413.0,0,2,02-02-2013,56,0,3,11
3629,1978,Graduation,Single,38557.0,1,0,19-12-2012,17,0,3,11
10991,1960,Master,Married,89058.0,0,0,07-12-2012,18,0,3,11
5077,1979,Graduation,Together,77298.0,0,1,02-11-2013,46,0,3,11
7431,1991,PhD,Single,68126.0,0,0,10-11-2012,40,0,3,11
3267,1963,Master,Together,57288.0,0,1,25-06-2014,27,0,3,11
