ID,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds
5524,635,88,546,172,88,88
2174,11,1,6,2,1,6
4141,426,49,127,111,21,42
6182,11,4,20,10,3,5
5324,173,43,118,46,27,15
7446,520,42,98,0,42,14
965,235,65,164,50,49,27
6177,76,10,56,3,1,23
4855,14,0,24,3,3,2
5899,28,0,6,1,1,13
1994,5,5,6,0,2,1
387,6,16,11,11,1,16
2125,194,61,480,225,112,30
8180,233,2,53,3,5,14
2569,3,14,17,6,1,5
2114,1006,22,115,59,68,45
9736,53,5,19,2,13,4
4939,84,5,38,150,12,28
6565,1012,80,498,0,16,176
2278,4,17,19,30,24,39
9360,86,2,73,69,38,48
5376,1,1,1725,1,1,1
1993,867,0,86,0,0,19
4047,384,0,102,21,32,5
1409,270,3,27,39,6,99
7892,6,4,25,15,12,13
2404,173,4,30,3,6,41
5255,5,1,3,3,263,362
9422,36,2,42,20,21,10
1966,684,100,801,21,66,0
6864,8,4,10,2,2,4
3033,112,17,44,34,22,89
5710,110,0,5,2,0,3
7373,96,12,96,33,22,43
8755,482,34,471,119,68,22
10738,40,0,19,2,1,3
4339,702,17,151,0,8,35
10755,6,3,14,15,7,36
8595,55,0,6,2,0,4
2968,437,8,206,160,49,42
8601,421,76,536,82,178,102
503,13,1,29,3,0,7
8430,9,0,6,3,1,3
7281,81,11,50,3,2,39
2139,3,1,10,3,2,12
1371,123,164,266,227,30,174
9909,3,18,14,15,22,50
7286,13,6,15,3,5,13
7244,48,5,48,6,10,7
6566,826,50,317,50,38,38
8614,245,19,125,37,67,14
4114,650,37,780,27,167,32
1331,12,6,20,30,1,3
2225,510,120,550,156,40,241
9381,328,9,124,12,24,109
6260,984,51,432,180,120,190
10383,295,35,482,121,120,40
7437,13,0,8,2,1,5
8557,11,3,22,2,2,6
8375,447,0,28,0,0,43
6853,712,26,538,69,13,80
3076,452,18,102,16,18,6
1012,523,7,134,37,14,169
6518,546,0,48,0,6,6
4137,398,40,367,119,122,30
8082,1,3,6,3,6,15
1386,10,0,1,0,0,0
9369,688,14,309,201,24,38
4477,247,49,159,7,82,109
1357,856,59,487,58,29,73
1402,496,36,460,189,60,12
10629,25,3,43,17,4,17
6312,258,107,291,84,37,86
8132,565,6,65,0,6,19
1050,14,10,13,4,15,9
5846,2,1,6,2,1,1
1859,721,111,925,97,18,18
7503,1032,105,779,137,105,51
10401,1,0,5,0,3,9
1618,577,0,64,0,0,51
3332,64,4,68,7,5,17
2261,4,1,5,2,0,4
5346,25,5,19,7,0,23
4119,112,17,44,34,22,89
535,163,23,424,27,65,76
5268,17,8,14,10,4,3
273,130,0,16,0,0,5
4452,292,6,37,0,3,34
8504,350,60,568,110,133,145
771,135,9,39,4,0,7
8996,230,42,192,49,37,53
9235,7,0,8,2,0,1
5798,445,37,359,98,28,18
11178,15,2,10,0,1,4
2230,27,2,14,0,0,0
7516,5,3,11,12,5,9
7247,505,0,26,0,0,75
11100,51,2,7,0,1,2
4646,207,26,447,75,0,223
3037,135,46,92,65,61,11
1473,53,1,5,2,1,10
1016,41,1,6,2,0,5
4518,386,172,183,185,132,111
9370,562,81,276,80,40,81
8908,217,76,690,50,26,38
8373,1,3,6,10,0,9
7533,144,1,32,2,1,7
2683,295,106,271,75,98,65
3629,76,3,31,4,4,27
10991,454,194,106,31,22,43
5077,425,115,292,23,35,79
7431,1332,17,311,23,51,86
