ID,NumDealsPurchases,AcceptedCmp1,AcceptedCmp2,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,Response
5524,3,0,0,0,0,0,1
2174,2,0,0,0,0,0,0
4141,1,0,0,0,0,0,0
6182,2,0,0,0,0,0,0
5324,5,0,0,0,0,0,0
7446,2,0,0,0,0,0,0
965,4,0,0,0,0,0,0
6177,2,0,0,0,0,0,0
4855,1,0,0,0,0,0,1
5899,1,0,0,1,0,0,0
1994,1,0,0,0,0,0,0
387,1,0,0,0,0,0,0
2125,1,0,0,0,0,0,0
8180,3,0,0,0,0,0,0
2569,1,0,0,0,0,0,0
2114,1,1,0,0,0,1,1
9736,3,0,0,0,0,0,0
4939,2,0,0,0,0,0,0
6565,2,1,0,0,0,0,0
2278,2,0,0,0,0,0,0
9360,1,0,0,0,0,0,0
5376,15,0,0,0,0,0,0
1993,3,0,0,0,1,0,0
4047,3,0,0,0,0,0,0
1409,7,0,0,0,0,0,0
7892,2,0,0,0,0,0,0
2404,4,0,0,0,0,0,0
5255,0,0,0,0,0,0,0
9422,2,0,0,0,0,0,0
1966,1,0,0,0,0,1,0
6864,2,0,0,0,0,0,0
3033,1,0,0,0,0,0,0
5710,2,0,0,0,1,0,0
7373,6,0,0,0,0,0,1
8755,1,0,0,0,0,0,0
10738,1,0,0,0,0,0,0
4339,5,0,0,0,0,0,0
10755,3,0,0,0,0,0,0
8595,2,0,0,0,0,0,0
2968,2,0,0,1,0,0,1
8601,2,0,0,0,0,0,0
503,2,0,0,0,0,0,0
8430,1,0,0,0,0,0,0
7281,1,0,0,0,0,0,0
2139,3,0,0,0,0,0,0
1371,1,0,0,0,0,0,0
9909,3,0,0,0,0,0,1
7286,1,0,0,0,0,0,0
7244,3,0,0,0,0,0,0
6566,9,0,0,0,0,0,0
8614,1,0,0,0,0,0,0
4114,1,0,0,0,0,0,0
1331,2,0,0,0,0,0,0
2225,1,1,0,1,0,0,1
9381,7,0,0,0,0,0,0
6260,1,0,0,0,0,1,1
10383,1,0,0,0,0,0,1
7437,1,0,0,0,0,0,0
8557,2,0,0,0,0,0,0
8375,3,0,0,0,0,0,0
6853,1,0,0,0,1,1,1
3076,4,0,0,0,0,0,0
1012,4,0,0,0,0,0,0
6518,1,0,0,0,0,0,0
4137,1,0,0,0,0,0,0
8082,1,0,0,0,0,0,1
1386,1,0,0,0,0,0,0
9369,1,1,0,1,0,0,1
4477,1,0,0,0,0,0,0
1357,7,0,0,0,0,0,0
1402,3,0,0,0,0,0,0
10629,3,0,0,0,0,0,0
6312,4,0,0,0,0,0,0
8132,5,0,0,0,1,0,0
1050,1,0,0,0,0,0,0
5846,1,0,0,0,0,0,0
1859,1,0,0,0,0,0,1
7503,0,0,0,1,0,0,1
10401,1,0,0,0,0,0,0
1618,2,0,0,1,0,0,1
3332,4,0,0,0,0,0,0
2261,1,0,0,0,0,0,0
5346,3,0,0,0,0,0,0
4119,1,0,0,0,0,0,0
535,1,0,0,0,0,0,0
5268,2,0,0,0,0,0,0
273,5,0,0,0,1,0,0
4452,4,1,0,0,1,0,1
8504,1,0,0,0,0,1,0
771,1,0,0,0,0,0,0
8996,12,0,0,0,0,0,0
9235,1,0,0,0,0,0,0
5798,1,0,0,0,0,0,0
11178,1,0,0,0,0,0,0
2230,3,0,0,0,0,0,0
7516,1,0,0,0,0,0,0
7247,5,0,0,0,1,0,0
11100,2,0,0,0,0,0,0
4646,1,1,0,0,0,0,0
3037,2,0,0,0,0,0,0
1473,2,0,0,0,0,0,0
1016,2,0,0,0,0,0,0
4518,2,0,0,0,0,0,0
9370,1,0,0,0,0,0,0
8908,1,0,0,0,0,0,1
8373,1,0,0,0,0,0,0
7533,4,0,0,0,0,0,0
2683,4,0,0,0,0,0,0
3629,2,0,0,0,0,0,0
10991,1,0,0,0,0,0,0
5077,1,0,0,0,0,0,0
7431,1,0,0,0,1,0,1
3267,3,0,0,0,1,0,0
999,1,0,0,0,1,1,1
9215,5,0,0,0,0,0,0
2286,2,0,0,0,0,0,0
1592,0,1,0,0,0,1,0
367,5,0,0,0,0,0,0
5234,2,0,0,0,0,0,0
9862,2,0,0,0,0,0,0
9805,4,0,0,0,0,0,0
6205,3,0,0,0,0,0,1
8442,2,0,0,0,0,0,0
7386,1,0,0,0,0,0,0
7215,0,1,0,0,1,1,1
1491,2,0,0,0,0,0,0
11071,1,0,0,0,0,0,1
3381,2,0,0,0,0,0,0
8268,3,0,0,0,0,0,0
11051,4,0,0,0,0,0,0
8026,5,0,0,0,0,0,0
433,5,0,0,0,0,0,0
9597,1,0,0,0,0,0,0
1295,1,0,0,0,0,0,0
5290,5,0,0,0,0,0,0
1685,1,0,0,0,1,0,0
5342,2,0,0,0,0,0,0
9579,3,0,0,0,0,0,0
7660,2,0,0,1,0,0,1
1461,2,0,0,0,0,0,0
821,1,0,0,0,0,0,0
11084,2,0,0,0,0,0,1
8690,1,0,0,0,0,0,0
2937,3,0,0,0,0,0,0
9701,3,0,0,0,0,0,0
9949,3,0,0,0,0,0,0
10837,1,0,0,0,0,0,1
3120,1,0,0,0,0,0,0
5885,7,0,0,0,0,0,0
4050,1,0,0,0,0,0,0
3830,1,0,0,0,0,0,0
7987,4,0,0,0,1,0,0
7798,4,0,0,0,0,0,0
92,4,0,0,0,0,0,0
7055,2,0,0,0,0,0,0
10240,1,0,0,0,1,1,1
3025,3,0,0,0,0,0,0
9283,1,0,0,0,0,0,0
9970,1,0,0,0,0,0,0
2730,1,0,0,0,0,0,0
2795,1,0,0,0,0,0,0
9260,2,0,0,0,0,0,0
8182,4,0,0,0,0,0,0
10095,1,0,0,0,0,0,0
8475,15,0,0,0,0,0,0
4370,3,0,0,0,0,0,0
10573,1,0,0,1,0,0,0
3712,1,0,0,0,1,0,0
6637,1,0,0,0,0,0,0
3152,3,0,0,0,0,0,0
5610,2,0,0,0,0,0,0
6460,2,0,0,0,0,0,0
1349,1,0,0,0,0,0,0
1880,2,0,0,0,0,0,0
641,1,0,0,1,0,0,0
8717,1,0,0,0,0,0,0
10314,1,1,0,0,1,0,1
10854,2,0,0,0,0,0,0
10492,1,0,0,0,0,0,0
6935,1,1,0,0,0,0,0
7698,1,0,0,0,0,0,0
3559,3,0,0,0,0,0,0
10562,1,0,0,0,0,0,0
10796,1,0,0,0,0,0,0
2563,1,0,0,0,0,0,0
3518,1,0,0,0,0,0,0
5823,2,0,0,0,0,0,0
3934,2,0,0,0,0,0,0
6982,1,0,0,0,0,0,0
6431,2,0,0,0,0,0,0
9733,1,0,0,1,0,0,0
5602,1,0,0,0,0,0,0
7829,1,0,0,0,0,0,0
1324,2,0,0,0,0,0,0
326,4,0,0,0,0,0,0
7224,2,0,0,0,0,0,0
6999,1,0,0,0,0,0,0
9938,1,0,0,0,0,1,0
6422,1,0,0,0,0,0,0
3182,6,0,0,1,0,0,1
7300,3,0,0,0,1,0,0
10424,1,0,0,0,0,0,0
8727,3,0,0,0,0,0,0
2798,0,1,0,0,1,1,1
1030,2,0,0,0,0,0,0
624,1,0,0,1,0,0,1
5176,1,0,0,1,0,0,0
5552,6,0,0,0,0,0,0
868,1,0,0,0,0,0,0
380,5,0,0,1,0,0,1
2677,5,0,0,0,0,0,0
6521,1,0,0,0,0,0,0
6927,8,0,0,0,0,0,0
2877,10,0,0,0,0,0,0
0,1,0,0,0,0,0,0
1584,6,0,0,0,0,0,0
7264,1,0,0,0,0,0,0
6274,1,0,0,0,1,1,0
1377,2,0,0,0,0,0,0
454,2,0,0,0,0,0,0
1755,1,0,0,0,0,0,0
2075,1,0,0,0,0,0,0
4785,2,0,0,0,0,0,0
9076,4,0,0,0,0,0,0
7079,5,0,0,0,0,0,0
4653,4,0,0,0,0,0,0
7375,2,0,0,0,0,0,0
709,3,0,0,0,0,0,0
460,1,0,0,0,0,0,0
3726,1,0,0,0,0,0,0
6798,9,0,0,0,0,0,1
5341,1,0,0,0,0,1,0
1606,1,0,0,0,0,0,0
9617,1,0,0,0,0,0,0
3233,3,0,0,0,0,0,0
89,2,0,0,0,0,0,0
2936,1,0,0,0,0,0,0
9449,1,0,0,0,0,0,0
7297,4,0,0,0,0,0,0
11004,1,0,0,0,0,0,0
313,1,0,0,0,1,0,0
9940,2,0,0,0,0,0,0
10735,1,0,0,0,0,0,0
9529,1,1,0,0,0,0,1
6439,7,0,0,0,0,0,0
7411,2,0,0,0,0,0,0
2176,2,1,0,0,1,1,1
9265,2,0,0,0,0,0,0
8867,1,0,0,0,0,0,0
8932,4,0,0,0,0,0,0
10236,2,0,0,0,0,0,0
6340,2,0,0,0,0,0,0
10089,1,1,1,0,1,1,1
2227,2,0,0,0,0,0,0
10992,5,0,0,0,0,0,0
5304,2,0,0,0,0,0,0
309,3,0,0,0,1,0,0
3406,4,0,0,0,0,0,0
2661,4,0,0,0,0,0,0
3153,1,0,0,0,0,0,0
10264,2,0,0,1,0,0,1
1184,3,0,0,0,0,0,0
4200,4,0,0,0,0,0,0
9396,1,0,0,0,0,0,0
2387,6,0,0,0,0,0,1
6690,4,0,0,0,0,0,0
1225,1,0,0,1,0,0,0
9703,4,0,0,1,0,0,1
291,1,0,0,0,0,0,0
4557,2,0,0,0,0,0,0
2379,2,0,0,0,0,0,1
5726,3,0,0,0,0,0,0
3066,2,0,0,0,0,0,0
6336,4,0,0,0,0,0,0
10967,3,0,0,0,0,0,0
2304,2,0,0,0,0,0,0
3445,2,0,0,0,0,0,1
7828,1,0,0,0,0,0,0
3762,1,1,0,0,0,0,1
4391,1,0,0,0,0,0,0
4669,3,0,0,0,0,0,0
10144,2,0,0,0,0,0,0
8652,2,0,0,0,0,0,0
